,Unnamed: 0,Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014","Mortality Rate, 1981*","Mortality Rate, 1982*","Mortality Rate, 1983*","Mortality Rate, 1984*","Mortality Rate, 1986*","Mortality Rate, 1987*","Mortality Rate, 1988*","Mortality Rate, 1989*","Mortality Rate, 1991*","Mortality Rate, 1992*","Mortality Rate, 1993*","Mortality Rate, 1994*","Mortality Rate, 1996*","Mortality Rate, 1997*","Mortality Rate, 1998*","Mortality Rate, 1999*","Mortality Rate, 2001*","Mortality Rate, 2002*","Mortality Rate, 2003*","Mortality Rate, 2004*","Mortality Rate, 2006*","Mortality Rate, 2007*","Mortality Rate, 2008*","Mortality Rate, 2009*","Mortality Rate, 2011*","Mortality Rate, 2012*","Mortality Rate, 2013*","Mortality Rate, 2020*","Mortality Rate, 2019*","Mortality Rate, 2018*","Mortality Rate, 2017*","Mortality Rate, 2016*","Mortality Rate, 2015*",County,State
12,12,"Chilton County, Alabama",1021.0,547.04,516.49,472.86,457.97,442.11,398.26,351.97,351.7,"-35.71 (-40.70, -30.68)",540.9300000000001,534.8199999999999,528.71,522.6,507.764,499.038,490.312,481.586,469.882,466.904,463.926,460.948,454.79800000000006,451.626,448.45400000000006,445.282,433.34,424.5700000000001,415.8,407.03,389.002,379.744,370.486,361.228,351.91600000000005,351.862,351.808,307.04817538461543,313.0421123076924,319.03604923076927,325.02998615384615,331.0239230769231,337.01786000000004,Chilton,Alabama
13,13,"Choctaw County, Alabama",1023.0,531.36,511.74,473.19,466.94,447.75,387.24,354.33,356.81,"-32.85 (-38.47, -26.25)",527.436,523.512,519.588,515.6640000000001,504.0300000000001,496.32,488.61,480.9,471.94000000000005,470.69,469.44,468.19000000000005,463.102,459.264,455.426,451.5880000000001,435.648,423.546,411.444,399.342,380.658,374.076,367.494,360.912,354.826,355.322,355.818,304.1007138461538,310.350643076923,316.60057230769223,322.85050153846146,329.1004307692307,335.3503599999999,Choctaw,Alabama
14,14,"Clarke County, Alabama",1025.0,552.28,514.67,454.11,430.28,406.29,361.11,316.86,313.4,"-43.25 (-47.97, -37.85)",544.758,537.236,529.7139999999999,522.192,502.558,490.446,478.334,466.222,449.344,444.578,439.812,435.046,425.482,420.684,415.886,411.088,397.254,388.218,379.182,370.1460000000001,352.26000000000005,343.41,334.56000000000006,325.71000000000004,316.168,315.476,314.784,262.3069569230769,268.98132153846154,275.65568615384615,282.33005076923075,289.00441538461536,295.67877999999996,Clarke,Alabama
15,15,"Clay County, Alabama",1027.0,489.58,480.02,450.0,457.78,447.89,419.05,379.96,390.37,"-20.26 (-27.83, -11.90)",487.668,485.756,483.844,481.932,474.016,468.012,462.008,456.004,451.556,453.112,454.668,456.224,455.802,453.824,451.846,449.868,442.122,436.354,430.586,424.818,411.232,403.414,395.596,387.778,382.042,384.124,386.206,359.7329815384616,363.4283092307693,367.123636923077,370.8189646153847,374.51429230769236,378.2096200000001,Clay,Alabama
16,16,"Cleburne County, Alabama",1029.0,520.06,505.48,467.03,450.34,427.01,400.22,361.21,360.18,"-30.74 (-36.52, -24.53)",517.144,514.228,511.312,508.396,497.79,490.1,482.41,474.72,463.692,460.3539999999999,457.016,453.678,445.674,441.0079999999999,436.342,431.676,421.652,416.294,410.936,405.578,392.41800000000006,384.616,376.814,369.01200000000006,361.004,360.798,360.592,321.16891692307695,326.24874153846156,331.3285661538462,336.40839076923083,341.48821538461544,346.56804000000005,Cleburne,Alabama
17,17,"Coffee County, Alabama",1031.0,448.47,433.52,399.56,394.63,386.29,338.77,304.79,310.93,"-30.67 (-36.53, -24.65)",445.4800000000001,442.49,439.5,436.5100000000001,426.72800000000007,419.936,413.144,406.352,398.574,397.588,396.602,395.616,392.962,391.294,389.626,387.958,376.78600000000006,367.282,357.778,348.274,331.97400000000005,325.178,318.382,311.586,306.01800000000003,307.246,308.474,270.0856184615385,274.95679076923085,279.82796307692314,284.6991353846155,289.5703076923078,294.44148000000007,Coffee,Alabama
18,18,"Colbert County, Alabama",1033.0,514.95,500.71,455.44,426.78,390.56,348.79,298.78,308.32,"-40.13 (-44.68, -35.53)",512.1020000000001,509.254,506.406,503.558,491.656,482.602,473.548,464.494,449.708,443.976,438.244,432.512,419.536,412.292,405.048,397.804,382.206,373.852,365.4980000000001,357.14400000000006,338.788,328.786,318.784,308.78200000000004,300.688,302.596,304.504,241.8352646153846,249.08756769230766,256.33987076923074,263.59217384615386,270.8444769230769,278.09677999999997,Colbert,Alabama
19,19,"Conecuh County, Alabama",1035.0,533.95,506.37,461.99,451.56,439.07,375.49,334.88,349.78,"-34.49 (-41.00, -27.51)",528.4340000000001,522.918,517.402,511.886,497.494,488.61800000000005,479.742,470.866,459.90400000000005,457.818,455.732,453.6460000000001,449.06200000000007,446.564,444.066,441.568,426.354,413.638,400.922,388.206,367.368,359.246,351.124,343.002,337.86,340.84000000000003,343.81999999999994,289.91795384615386,296.24142307692307,302.56489230769233,308.8883615384616,315.2118307692308,321.5353,Conecuh,Alabama
20,20,"Coosa County, Alabama",1037.0,502.43,473.02,426.37,413.41,391.76,337.27,296.16,301.93,"-39.91 (-45.72, -33.25)",496.548,490.666,484.784,478.902,463.69,454.36,445.03,435.7,423.778,421.186,418.594,416.00200000000007,409.08,404.75,400.42,396.09,380.862,369.964,359.06600000000003,348.168,329.048,320.826,312.604,304.382,297.314,298.468,299.622,245.82143999999997,252.33607999999998,258.85071999999997,265.36535999999995,271.88,278.39464,Coosa,Alabama
21,21,"Covington County, Alabama",1039.0,510.27,475.07,422.2,421.04,393.56,353.37,312.32,318.86,"-37.51 (-42.33, -32.34)",503.23,496.19,489.15,482.11,464.496,453.922,443.348,432.774,421.968,421.736,421.504,421.2720000000001,415.544,410.048,404.552,399.056,385.5220000000001,377.484,369.446,361.408,345.16,336.95,328.74,320.53,313.628,314.93600000000004,316.244,270.39711076923084,276.05744461538467,281.7177784615385,287.37811230769233,293.03844615384617,298.69878000000006,Covington,Alabama
22,22,"Crenshaw County, Alabama",1041.0,522.87,490.6,441.6,420.4,395.03,347.32,311.51,313.72,"-40.00 (-45.72, -34.05)",516.416,509.962,503.508,497.054,480.8,471.0,461.2,451.4,437.36,433.12,428.88,424.64,415.326,410.252,405.178,400.104,385.488,375.946,366.404,356.862,340.158,332.996,325.83399999999995,318.672,311.952,312.394,312.836,259.16942769230764,265.4910861538461,271.81274461538453,278.13440307692304,284.4560615384615,290.77771999999993,Crenshaw,Alabama
23,23,"Cullman County, Alabama",1043.0,483.06,460.01,425.81,426.23,422.69,378.46,352.4,350.97,"-27.34 (-32.93, -22.03)",478.4500000000001,473.84,469.23,464.62000000000006,453.1700000000001,446.33,439.49,432.65,425.894,425.978,426.062,426.1460000000001,425.5220000000001,424.814,424.106,423.398,413.8440000000001,404.99799999999993,396.152,387.306,373.248,368.036,362.824,357.612,352.11400000000003,351.828,351.54200000000003,322.01080923076915,326.0723953846153,330.13398153846146,334.1955676923076,338.25715384615376,342.31873999999993,Cullman,Alabama
24,24,"Dale County, Alabama",1045.0,466.1,449.14,403.21,399.9,384.54,333.37,298.51,291.55,"-37.45 (-42.40, -32.54)",462.7080000000001,459.316,455.924,452.532,439.954,430.768,421.582,412.396,402.548,401.886,401.22399999999993,400.562,396.828,393.756,390.684,387.6120000000001,374.306,364.072,353.838,343.60400000000004,326.398,319.426,312.454,305.482,297.118,295.726,294.334,252.36911076923073,258.06624461538456,263.7633784615384,269.4605123076923,275.15764615384614,280.85477999999995,Dale,Alabama
25,25,"Dallas County, Alabama",1047.0,503.84,490.61,465.11,474.38,455.6,433.61,403.33,412.98,"-18.03 (-23.97, -11.77)",501.194,498.548,495.902,493.2560000000001,485.5100000000001,480.41,475.31,470.21,466.96400000000006,468.818,470.672,472.526,470.624,466.868,463.112,459.356,451.202,446.804,442.406,438.008,427.554,421.498,415.442,409.386,405.26,407.19,409.12,382.81933846153845,386.1245307692308,389.42972307692304,392.73491538461536,396.0401076923077,399.34529999999995,Dallas,Alabama
26,26,"DeKalb County, Alabama",1049.0,540.16,532.32,485.05,456.37,441.29,410.6,365.48,354.46,"-34.38 (-38.86, -29.50)",538.592,537.024,535.456,533.888,522.8660000000001,513.412,503.958,494.504,479.314,473.578,467.842,462.106,453.354,450.338,447.322,444.306,435.152,429.014,422.876,416.73800000000006,401.576,392.552,383.528,374.504,363.276,361.072,358.868,319.348483076923,325.0081584615384,330.6678338461538,336.3275092307692,341.98718461538454,347.64685999999995,DeKalb,Alabama
27,27,"Elmore County, Alabama",1051.0,559.31,515.32,453.03,425.79,380.5,322.81,281.11,277.36,"-50.41 (-53.90, -46.55)",550.512,541.7139999999999,532.9159999999999,524.118,502.8620000000001,490.404,477.946,465.488,447.582,442.134,436.686,431.23800000000006,416.7320000000001,407.674,398.616,389.5580000000001,368.9620000000001,357.424,345.886,334.348,314.47,306.13,297.79,289.45000000000005,280.36,279.61,278.86,205.90861538461547,214.3894923076924,222.8703692307693,231.35124615384623,239.83212307692315,248.31300000000007,Elmore,Alabama
28,28,"Escambia County, Alabama",1053.0,529.06,499.78,456.69,440.7,424.96,383.26,341.14,350.49,"-33.75 (-38.50, -28.43)",523.204,517.348,511.492,505.636,491.162,482.544,473.926,465.3080000000001,453.492,450.294,447.096,443.898,437.552,434.404,431.256,428.108,416.62,408.28,399.94,391.6,374.836,366.412,357.988,349.564,343.01,344.88,346.75,301.7839692307692,307.2920153846153,312.8000615384615,318.30810769230766,323.81615384615384,329.32419999999996,Escambia,Alabama
29,29,"Etowah County, Alabama",1055.0,543.85,522.92,471.17,435.46,436.46,396.91,364.18,356.71,"-34.41 (-38.36, -30.16)",539.664,535.4780000000001,531.2919999999999,527.106,512.57,502.22,491.87,481.52,464.028,456.886,449.744,442.602,435.66,435.86,436.06,436.26,428.55,420.64,412.73,404.8200000000001,390.364,383.818,377.2720000000001,370.726,362.686,361.192,359.698,323.93731384615376,328.808543076923,333.67977230769225,338.5510015384615,343.42223076923074,348.2934599999999,Etowah,Alabama
30,30,"Fayette County, Alabama",1057.0,476.39,449.73,418.25,413.67,408.17,359.12,321.72,326.56,"-31.45 (-37.72, -24.91)",471.0580000000001,465.726,460.394,455.06200000000007,443.4340000000001,437.138,430.842,424.5460000000001,417.33400000000006,416.418,415.502,414.586,412.5700000000001,411.47,410.37,409.2700000000001,398.36000000000007,388.55,378.74,368.93,351.64,344.16,336.68,329.20000000000005,322.68800000000005,323.656,324.624,286.99178769230764,291.9861061538461,296.98042461538455,301.974743076923,306.96906153846146,311.9633799999999,Fayette,Alabama
31,31,"Franklin County, Alabama",1059.0,553.24,528.08,499.75,485.89,458.91,405.36,378.92,375.76,"-32.08 (-37.47, -26.08)",548.2080000000001,543.176,538.144,533.1120000000001,522.4140000000001,516.748,511.082,505.41600000000005,496.978,494.206,491.434,488.662,480.494,475.098,469.702,464.306,448.2000000000001,437.49,426.78,416.0700000000001,400.072,394.784,389.496,384.208,378.288,377.656,377.024,323.79348000000005,330.01726,336.24104,342.46482000000003,348.68860000000006,354.91238000000004,Franklin,Alabama
32,32,"Geneva County, Alabama",1061.0,516.35,494.67,445.62,435.25,413.1,367.73,326.34,330.38,"-36.02 (-41.11, -29.81)",512.014,507.678,503.342,499.0060000000001,484.86000000000007,475.05000000000007,465.24,455.43000000000006,443.5460000000001,441.472,439.398,437.32400000000007,430.8200000000001,426.39,421.96,417.53,404.026,394.952,385.878,376.804,359.452,351.174,342.896,334.618,327.148,327.956,328.764,280.73980307692307,286.72209846153845,292.70439384615383,298.6866892307693,304.6689846153846,310.65128000000004,Geneva,Alabama
33,33,"Greene County, Alabama",1063.0,535.74,497.08,442.19,425.04,400.0,339.13,295.08,304.94,"-43.08 (-48.84, -36.87)",528.008,520.2760000000001,512.544,504.812,486.102,475.124,464.146,453.168,438.76,435.33,431.9,428.47,420.032,415.024,410.016,405.008,387.826,375.652,363.478,351.30400000000003,330.32000000000005,321.51,312.7,303.89,297.052,299.024,300.996,239.17784307692312,246.4116784615385,253.64551384615388,260.87934923076926,268.1131846153846,275.34702000000004,Greene,Alabama
34,34,"Hale County, Alabama",1065.0,583.82,548.35,502.58,485.96,459.08,414.19,366.13,361.32,"-38.11 (-43.74, -32.11)",576.7260000000001,569.6320000000001,562.538,555.4440000000001,539.196,530.042,520.888,511.734,499.256,495.932,492.608,489.2840000000001,480.58400000000006,475.208,469.832,464.456,450.102,441.124,432.146,423.168,404.578,394.966,385.354,375.742,365.168,364.206,363.244,311.20606461538466,318.04176769230776,324.8774707692308,331.7131738461539,338.54887692307693,345.38458,Hale,Alabama
35,35,"Henry County, Alabama",1067.0,559.4,521.65,454.98,437.33,404.86,364.68,311.34,300.75,"-46.24 (-51.19, -40.83)",551.85,544.3,536.75,529.2,508.316,494.982,481.648,468.314,451.4500000000001,447.92,444.39,440.86,430.836,424.342,417.848,411.354,396.82400000000007,388.788,380.752,372.716,354.01200000000006,343.344,332.676,322.00800000000004,309.222,307.104,304.986,252.0662123076923,259.29669384615386,266.52717538461536,273.75765692307687,280.9881384615385,288.21862,Henry,Alabama
36,36,"Houston County, Alabama",1069.0,506.26,469.14,403.98,403.92,389.14,341.69,301.74,300.26,"-40.69 (-44.87, -36.28)",498.836,491.412,483.988,476.564,456.108,443.076,430.044,417.01200000000006,403.968,403.956,403.944,403.932,400.96400000000006,398.008,395.052,392.096,379.65,370.16,360.67,351.18000000000006,333.70000000000005,325.71,317.72,309.73,301.444,301.148,300.852,260.66213230769233,266.1689338461539,271.67573538461545,277.182536923077,282.6893384615385,288.19614,Houston,Alabama
37,37,"Jackson County, Alabama",1071.0,576.29,550.7,514.03,490.28,444.39,398.78,349.86,355.9,"-38.24 (-42.51, -33.45)",571.172,566.054,560.936,555.8180000000001,543.3660000000001,536.032,528.698,521.364,509.28,504.53,499.78,495.03,481.102,471.924,462.746,453.568,435.268,426.146,417.024,407.902,388.996,379.212,369.428,359.644,351.06800000000004,352.27599999999995,353.48400000000004,285.1884184615384,293.05939076923073,300.930363076923,308.8013353846153,316.67230769230764,324.5432799999999,Jackson,Alabama
38,38,"Jefferson County, Alabama",1073.0,487.64,459.55,409.58,377.0,371.53,341.35,301.11,313.01,"-35.81 (-38.22, -33.19)",482.0220000000001,476.404,470.78600000000006,465.16800000000006,449.556,439.562,429.568,419.574,403.064,396.548,390.032,383.516,375.906,374.812,373.718,372.624,365.494,359.458,353.422,347.386,333.302,325.254,317.206,309.158,303.49,305.87,308.25,270.2730307692308,274.8402846153847,279.4075384615385,283.9747923076924,288.5420461538462,293.1093000000001,Jefferson,Alabama
39,39,"Lamar County, Alabama",1075.0,541.52,508.9,459.12,452.42,433.67,377.16,326.07,326.28,"-39.75 (-45.79, -33.54)",534.996,528.472,521.948,515.424,498.944,488.988,479.032,469.076,457.7800000000001,456.44,455.1,453.7600000000001,448.6700000000001,444.92,441.17,437.4200000000001,422.36800000000005,411.066,399.764,388.462,366.942,356.72400000000005,346.506,336.288,326.112,326.154,326.196,274.66342769230766,281.5744861538461,288.4855446153846,295.39660307692304,302.3076615384615,309.21871999999996,Lamar,Alabama
40,40,"Lauderdale County, Alabama",1077.0,438.63,401.13,363.7,354.98,333.41,295.84,262.04,263.0,"-40.04 (-44.16, -35.87)",431.13,423.63,416.13,408.63,393.644,386.158,378.672,371.186,361.956,360.212,358.468,356.72400000000005,350.66600000000005,346.352,342.038,337.72400000000005,325.896,318.382,310.868,303.354,289.08,282.32,275.56,268.8,262.232,262.42400000000004,262.616,221.32465846153846,226.47027076923078,231.61588307692307,236.7614953846154,241.9071076923077,247.05272,Lauderdale,Alabama
41,41,"Lawrence County, Alabama",1079.0,535.99,526.11,479.12,468.33,449.65,393.27,348.88,353.66,"-34.02 (-39.48, -28.58)",534.014,532.038,530.062,528.086,516.712,507.314,497.916,488.518,476.9620000000001,474.804,472.646,470.488,464.594,460.858,457.122,453.386,438.374,427.098,415.822,404.546,384.392,375.514,366.636,357.758,349.836,350.79200000000003,351.748,299.1393907692308,305.73450461538465,312.3296184615385,318.92473230769235,325.5198461538462,332.11496,Lawrence,Alabama
42,42,"Lee County, Alabama",1081.0,562.7,517.23,455.45,429.87,393.24,339.1,282.02,291.35,"-48.22 (-51.46, -44.59)",553.6060000000001,544.5120000000001,535.4180000000001,526.3240000000001,504.874,492.518,480.162,467.806,450.334,445.218,440.102,434.986,422.544,415.218,407.892,400.566,382.412,371.584,360.756,349.92800000000005,327.684,316.26800000000003,304.852,293.436,283.886,285.752,287.618,217.99691384615386,226.2683430769231,234.53977230769232,242.81120153846157,251.0826307692308,259.35406,Lee,Alabama
43,43,"Limestone County, Alabama",1083.0,561.62,521.25,456.79,438.62,408.14,354.43,301.09,307.06,"-45.33 (-49.18, -41.10)",553.546,545.472,537.398,529.3240000000001,508.358,495.466,482.574,469.682,453.156,449.5220000000001,445.888,442.254,432.524,426.428,420.332,414.236,397.398,386.656,375.914,365.172,343.76200000000006,333.094,322.426,311.758,302.284,303.47799999999995,304.672,242.5200707692308,250.15136461538464,257.7826584615385,265.41395230769234,273.04524615384616,280.67654000000005,Limestone,Alabama
44,44,"Lowndes County, Alabama",1085.0,530.88,514.93,476.67,479.03,462.78,435.57,392.82,399.51,"-24.75 (-31.80, -16.90)",527.69,524.5,521.31,518.12,507.278,499.626,491.974,484.322,477.142,477.614,478.086,478.558,475.78,472.53,469.28,466.03,457.338,451.896,446.454,441.012,427.02,418.47,409.92,401.37,394.158,395.496,396.834,365.7762953846154,370.08065230769233,374.38500923076924,378.6893661538462,382.9937230769231,387.29808,Lowndes,Alabama
45,45,"Macon County, Alabama",1087.0,537.46,516.09,475.86,468.87,453.45,408.79,371.47,383.22,"-28.70 (-34.74, -22.13)",533.1860000000001,528.912,524.638,520.364,508.0440000000001,499.9980000000001,491.95200000000006,483.90600000000006,474.4620000000001,473.064,471.66600000000005,470.268,465.786,462.702,459.618,456.534,444.518,435.586,426.654,417.722,401.326,393.862,386.398,378.9340000000001,373.8200000000001,376.17,378.52,335.28615384615375,340.457523076923,345.62889230769224,350.8002615384614,355.97163076923067,361.1429999999999,Macon,Alabama
46,46,"Madison County, Alabama",1089.0,527.54,478.74,401.88,373.5,341.57,275.85,236.12,228.24,"-56.74 (-58.98, -54.44)",517.78,508.02,498.26,488.5,463.36800000000005,447.996,432.624,417.252,396.204,390.528,384.852,379.176,367.114,360.728,354.342,347.956,328.42600000000004,315.282,302.13800000000003,288.994,267.90400000000005,259.958,252.012,244.06600000000003,234.544,232.968,231.392,162.7974861538461,171.07705692307687,179.35662769230765,187.6361984615384,195.91576923076917,204.19533999999996,Madison,Alabama
47,47,"Marengo County, Alabama",1091.0,553.97,526.71,471.66,462.32,442.7,401.31,368.38,371.26,"-32.98 (-38.60, -27.02)",548.518,543.066,537.614,532.162,515.7,504.69000000000005,493.68,482.6700000000001,469.792,467.924,466.056,464.188,458.396,454.472,450.548,446.624,434.422,426.144,417.866,409.588,394.724,388.138,381.552,374.966,368.956,369.532,370.108,327.50112923076927,332.71023538461543,337.91934153846154,343.1284476923077,348.33755384615387,353.54666,Marengo,Alabama
48,48,"Marion County, Alabama",1093.0,465.79,456.05,427.88,430.31,420.4,392.99,360.38,370.65,"-20.43 (-26.38, -13.51)",463.8420000000001,461.894,459.946,457.9980000000001,450.41600000000005,444.782,439.148,433.514,428.366,428.852,429.338,429.82400000000007,428.328,426.346,424.364,422.382,414.918,409.436,403.954,398.472,386.4680000000001,379.946,373.424,366.902,362.434,364.488,366.542,340.03097846153844,343.4679107692307,346.90484307692304,350.34177538461535,353.77870769230765,357.21563999999995,Marion,Alabama
49,49,"Marshall County, Alabama",1095.0,548.18,526.18,478.63,448.34,426.52,387.63,338.31,337.06,"-38.51 (-42.67, -34.12)",543.78,539.3799999999999,534.98,530.5799999999999,516.67,507.16,497.65,488.14,472.572,466.514,460.456,454.398,443.976,439.612,435.248,430.884,418.742,410.964,403.186,395.408,377.7660000000001,367.902,358.038,348.17400000000004,338.06000000000006,337.81,337.56,286.663,293.2123,299.76160000000004,306.31090000000006,312.8602,319.40950000000004,Marshall,Alabama
50,50,"Mobile County, Alabama",1097.0,529.17,493.01,444.28,417.85,420.99,374.0,325.41,328.48,"-37.93 (-40.79, -34.79)",521.938,514.7059999999999,507.474,500.242,483.264,473.518,463.772,454.026,438.994,433.708,428.422,423.136,418.47800000000007,419.106,419.734,420.362,411.592,402.194,392.7960000000001,383.398,364.282,354.564,344.846,335.12800000000004,326.02400000000006,326.63800000000003,327.252,287.6949630769231,293.2267184615385,298.7584738461539,304.2902292307692,309.8219846153846,315.35374,Mobile,Alabama
